date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:42	24912/24912	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f43-6150-54d4b0fa5f5d2%22	http://risotto.mycookroom.ru/1.0.8/start.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/start.html	(from )
13:35:42	900/900	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223bb7-5bf-5453febddef80%22	http://risotto.mycookroom.ru/robots.txt		(from )
13:35:43	1775/1775	---M--	200	added ('OK')	image/png	etag:%221c03f37-6ef-54d4b109c3cb1%22	http://risotto.mycookroom.ru/1.0.8/assets/images/favicon.png	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/favicon.png	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:43	2463/2463	---M--	200	added ('OK')	image/png	etag:%221c03ebb-99f-54d4b10952449%22	http://risotto.mycookroom.ru/1.0.8/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/apple-touch-icon.png	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:43	3016/3016	---M--	200	added ('OK')	image/png	etag:%221c03eba-bc8-54d4b10923649%22	http://risotto.mycookroom.ru/1.0.8/assets/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/apple-touch-icon-72x72.png	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:44	2815/2815	---M--	200	added ('OK')	image/png	etag:%221c03eb9-aff-54d4b108d67d1%22	http://risotto.mycookroom.ru/1.0.8/assets/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/apple-touch-icon-114x114.png	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:45	122231/122231	---MCZ	200	added ('OK')	text/css	etag:W/%221c06c11-1dd77-54d4b11c5c4a9%22	http://risotto.mycookroom.ru/1.0.8/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/bootstrap/css/bootstrap.min.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:45	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f65-7187-54d4b1022e24a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/font-awesome.min.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:45	25251/25251	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f5d-62a3-54d4b1017880a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/eleganticons.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/eleganticons.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:46	21203/21203	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f5e-52d3-54d4b1018050a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/bootstrap-datepicker3.min.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/bootstrap-datepicker3.min.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:46	1584/1584	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f66-630-54d4b1022f1ea%22	http://risotto.mycookroom.ru/1.0.8/assets/css/jquery.timepicker.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/jquery.timepicker.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:46	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f67-1e66-54d4b1027c44a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/magnific-popup.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/magnific-popup.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:47	5965/5965	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f69-174d-54d4b102c5c12%22	http://risotto.mycookroom.ru/1.0.8/assets/css/owl.carousel.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/owl.carousel.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:47	16415/16415	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f6d-401f-54d4b10390e12%22	http://risotto.mycookroom.ru/1.0.8/assets/css/vertical.min.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/vertical.min.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:47	55236/55236	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f5b-d7c4-54d4b100bf71a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/animate.min.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/animate.min.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:48	3056/3056	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f5f-bf0-54d4b101c0c4a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/flexslider.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/flexslider.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:48	47120/47120	---MCZ	200	added ('OK')	text/css	etag:W/%221c02f6a-b810-54d4b102f656a%22	http://risotto.mycookroom.ru/1.0.8/assets/css/template.css	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/css/template.css	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:48	54447/54447	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e5f-d4af-54d4b0f5d214a%22	http://risotto.mycookroom.ru/1.0.8/index.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/index.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:49	2651/2651	---M--	200	added ('OK')	image/png	etag:%221c03f3e-a5b-54d4b10aec6c9%22	http://risotto.mycookroom.ru/1.0.8/assets/images/logo-light.png	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/logo-light.png	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:49	42011/42011	---MCZ	200	added ('OK')	text/html	etag:W/%221c02eaa-a41b-54d4b0f7b4fda%22	http://risotto.mycookroom.ru/1.0.8/op-index.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/op-index.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
